C_p_avg,C_n_avg,δ_SEI_nm,c_f_Ah,P_kW,ΔC_p_avg,ΔC_n_avg,Δδ_SEI_pm,Δc_f_μAh
2484.0,23584.0,3.7,29.0,17.3,-13.61026142496884,38.75425552238119,6.122085076306727e-8,4.330380246783583e-7
4450.5,15034.800000000001,28.5,9.1,-30.5,-14.570148699069227,41.48746655569961,2.7573722382542497e-7,1.9503927378887347e-6
2380.5,19456.8,6.0,37.9,25.0,-13.931519459876476,39.669015025129966,1.9042038182735826e-7,1.3469147353757982e-6
5175.0,17393.2,23.2,9.5,6.8,-14.889467325265517,42.39670372949498,1.7292544231473757e-7,1.223166470626381e-6
2277.0,14445.199999999999,24.1,3.7,45.9,-12.971212409361156,36.93460870819567,4.249642026468629e-7,3.0059310934017332e-6
3312.0,13560.800000000001,44.199999999999996,12.5,-14.5,-13.31551403146436,37.91498319352642,2.635072245646155e-7,1.863885368982426e-6
2691.0,11792.0,48.8,17.6,24.2,-12.540048489525569,35.7068999817031,3.929832758522265e-7,2.7797180108666694e-6
7555.5,17688.0,45.1,14.1,-21.3,-12.757737462271558,36.32675391474355,8.992208190158934e-8,6.360525905190617e-7
6003.0,14740.0,11.1,2.5,46.7,-15.520489325816651,44.19349418680379,5.519377465171456e-7,3.904062562315727e-6
3829.5,17982.8,31.900000000000002,39.0,-14.2,-14.082254349943076,40.09822194948277,1.1316750697817038e-7,8.004761950999382e-7
3208.5,17098.399999999998,30.3,27.5,40.4,-13.727518910966232,39.08813790953397,1.5812685887163405e-7,1.1184905430238625e-6
4140.0,10612.8,21.200000000000003,35.4,-49.0,-14.739099409211384,41.968541737659784,1.1188296109795125e-6,7.913901206065992e-6
8280.0,18277.6,22.700000000000003,27.1,-42.2,-12.625888606053147,35.95132363425615,1.599847862080911e-7,1.1316323594760548e-6
4140.0,12971.2,36.6,39.0,-36.5,-14.10249837742986,40.15586538405155,3.6741248323074934e-7,2.598846210030074e-6
4243.5,9728.4,31.200000000000003,43.6,34.1,-14.274056125107776,40.644363920767326,9.922003027300465e-7,7.018204644726856e-6
4761.0,15624.400000000001,0.2,37.5,-12.7,-16.49632745602464,46.97212415324155,6.662553015808874e-7,4.712673478594049e-6
5692.500000000001,22110.0,17.900000000000002,17.7,16.3,-14.755396180798861,42.01494564062307,5.4692486578601986e-8,3.8686045779411554e-7
4243.5,6190.8,47.9,28.2,14.3,-13.492380148129243,38.4185969349854,1.37135986465624e-6,9.70014234549272e-6
3312.0,16508.800000000003,17.900000000000002,17.2,-48.7,-14.439879176719286,41.11653331657198,2.768607845272096e-7,1.958340103873406e-6
4347.0,13266.0,30.799999999999997,38.1,12.3,-14.429298990422895,41.08640698538744,4.0813240456968697e-7,2.8868734765885674e-6
4036.5,10612.8,34.6,28.0,-29.3,-14.080379738674873,40.092884126661964,7.183720055663966e-7,5.081314460634216e-6
3208.5,17982.8,27.3,0.3,-4.3,-13.828289161754748,39.37507406205627,1.362960236855699e-7,9.640728629651744e-7
4243.5,22699.600000000002,31.0,26.3,-32.5,-14.008462580895523,39.88810511307464,2.981919738426318e-8,2.1092236014082537e-7
