C_p_avg,C_n_avg,δ_SEI_nm,c_f_Ah,P_kW,ΔC_p_avg,ΔC_n_avg,Δδ_SEI_pm,Δc_f_μAh
8176.5,21815.2,5.1000000000000005,49.0,-45.1,-13.382699764869207,38.10628981127365,9.988060695168147e-8,7.064929709229779e-7
3001.5,19162.0,43.300000000000004,0.3,40.8,-12.977359415498743,36.952111872834244,6.128292724936058e-8,4.334771149338574e-7
4657.5,7370.0,25.700000000000003,44.5,-29.8,-14.482823684585437,41.23881476136728,2.096154070422654e-6,1.4826883435356045e-5
2070.0,16803.6,24.0,21.6,-20.7,-12.620926928093269,35.937195607664485,2.3126189082679174e-7,1.6358020370313228e-6
4243.5,23289.2,11.799999999999999,1.3,-22.8,-14.762800436436601,42.036028734171495,4.825202824058456e-8,3.4130468191128787e-7
7659.0,13266.0,19.1,15.0,26.7,-13.767445431609147,39.20182584945471,6.532128785525259e-7,4.620419531861437e-6
5692.500000000001,14445.199999999999,15.000000000000002,24.3,-28.7,-15.356501788683937,43.726551288484764,5.149748701023943e-7,3.642610282748088e-6
5899.499999999999,10318.0,15.000000000000002,29.1,27.1,-15.191339277227305,43.25626273399513,1.4897891567946496e-6,1.0537837119290464e-5
3415.5,16214.000000000002,11.9,6.0,37.5,-14.8956661773134,42.41435452170185,3.6818375410318997e-7,2.604301698004036e-6
6417.0,10907.6,7.2,41.7,3.2,-15.516889912601576,44.18324511257911,1.7297865139486915e-6,1.2235428383943543e-5
6520.5,6190.8,31.7,43.5,-49.7,-13.804742806505859,39.30802748303974,2.336501372243098e-6,1.6526949989803312e-5
6520.5,6485.6,41.1,43.3,31.5,-13.514601599534492,38.48187094413616,1.6180716776403365e-6,1.1445227472991477e-5
7348.5,6190.8,27.200000000000003,46.4,42.7,-13.315914240242508,37.916122759675204,2.844266657423496e-6,2.011856417605064e-5
7762.5,17982.8,33.5,3.1,34.8,-12.919426976330593,36.78715335512047,1.1918371148304215e-7,8.430310645991117e-7
5796.000000000001,12086.8,24.5,22.3,-19.0,-14.769602010701343,42.055395735191574,6.809233417124749e-7,4.8164260244230495e-6
5382.0,10318.0,10.9,28.6,-21.0,-15.556511287645336,44.29606417200213,1.7253513944231098e-6,1.2204057121136313e-5
8073.0,23584.0,18.8,14.3,40.6,-12.601343238053337,35.8814324372108,3.8298501794561024e-8,2.7089965850756083e-7
4243.5,9433.6,36.8,12.6,-9.2,-14.038751738811472,39.97435134516529,8.893503718842423e-7,6.290708532917821e-6
5382.0,12086.8,36.2,6.8,44.3,-14.319199741212874,40.77290717053334,4.5743947670431843e-7,3.2356408794214444e-6
2691.0,12086.8,44.00000000000001,37.8,36.1,-12.698997956000966,36.15949733061299,4.175092145119482e-7,2.9531991679922347e-6
2587.5,11497.2,26.0,12.3,37.1,-13.256773836636945,37.74772464876961,8.353654036607271e-7,5.908852617646255e-6
6003.0,5896.0,17.5,29.7,-7.1,-14.607501886984473,41.593827112920714,3.961754286109225e-6,2.8022973038341436e-5
4761.0,10907.6,26.0,7.5,-7.3,-14.704035134868352,41.86869869973664,8.696513833087895e-7,6.151370203009771e-6
6106.5,12971.2,49.2,1.3,-41.6,-13.69825204401605,39.00480257857714,2.459277984334714e-7,1.7395394987123227e-6
3829.5,22699.600000000002,20.8,15.3,-37.9,-14.210597781962441,40.46367078281554,4.247304041286887e-8,3.0042773488486767e-7
7038.000000000001,9138.8,43.0,2.2,-36.7,-13.250893111822586,37.730979701325424,8.380191628920917e-7,5.927623651390454e-6
7348.5,14150.4,16.7,24.1,-47.5,-14.251965064237586,40.581461189429696,5.505934425120281e-7,3.894553796206022e-6
5796.000000000001,8254.400000000001,46.6,7.4,-14.5,-13.75204866553432,39.1579846484587,8.596393839864878e-7,6.080551579034914e-6
6624.0,21815.2,39.4,43.4,-34.6,-13.534602931096881,38.53882331924764,3.028074040626897e-8,2.1418702693428393e-7
7244.999999999999,22110.0,12.9,14.6,30.2,-14.103227500020155,40.15794150898669,6.791311269232949e-8,4.803749017448589e-7
4864.5,12086.8,41.4,27.9,36.3,-14.11021700238343,40.17784362196853,3.8703525135266776e-7,2.7376454041007857e-6
7555.5,22994.4,14.5,4.6,-18.0,-13.564515893037994,38.62399835992696,5.035555611858965e-8,3.561837230515771e-7
8073.0,6780.400000000001,11.6,25.4,7.2,-13.172713102158554,37.508367660570144,4.255192257523376e-6,3.0098569798644315e-5
3726.0,16508.800000000003,2.5,50.0,5.4,-15.81244644694787,45.02482141267246,4.799211466949995e-7,3.394662158003681e-6
5796.000000000001,13855.599999999999,42.0,22.9,32.0,-14.048209700818077,40.00128222215635,2.4167041743302357e-7,1.7094254471145733e-6
6106.5,19162.0,5.1000000000000005,48.0,-27.0,-15.715513067797701,44.74881048041932,2.0588517097919105e-7,1.4563029856680825e-6
7141.499999999999,17393.2,15.399999999999999,40.9,-40.3,-14.462178108687935,41.18002794613207,2.3769670788218948e-7,1.6813179100076759e-6
4554.0,22699.600000000002,26.400000000000002,10.6,25.9,-14.286064237530507,40.67855617047143,3.443497728736668e-8,2.435715015146631e-7
2277.0,10612.8,35.3,8.5,47.1,-12.43003647981233,35.393648575144056,8.232062576224588e-7,5.822846420140684e-6
6624.0,10612.8,11.799999999999999,32.7,37.4,-15.057594714447305,42.87543456332898,1.5769447131971998e-6,1.1154321037986217e-5
5382.0,7370.0,47.5,17.7,-25.6,-13.749843285449959,39.15170498484946,1.0253487684660933e-6,7.2526761678197e-6
